"Date","Source","Site ID","POC","Daily Max 1-hour NO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"04/26/2019","AQS","060371302","1","21.5","ppb","20","Compton","24","100.0000","42602","Nitrogen dioxide (NO2)","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","33.9013890008739","-118.205"
"04/27/2019","AQS","060371302","1","9.5","ppb","8","Compton","24","100.0000","42602","Nitrogen dioxide (NO2)","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","33.9013890008739","-118.205"
"04/28/2019","AQS","060371302","1","10.3","ppb","9","Compton","24","100.0000","42602","Nitrogen dioxide (NO2)","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","33.9013890008739","-118.205"
"04/29/2019","AQS","060371302","1","21.7","ppb","20","Compton","24","100.0000","42602","Nitrogen dioxide (NO2)","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","33.9013890008739","-118.205"
"04/30/2019","AQS","060371302","1","18.5","ppb","17","Compton","23","96.0000","42602","Nitrogen dioxide (NO2)","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","33.9013890008739","-118.205"
"05/01/2019","AQS","060371302","1","30.3","ppb","28","Compton","19","79.0000","42602","Nitrogen dioxide (NO2)","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","33.9013890008739","-118.205"
"05/02/2019","AQS","060371302","1","23.5","ppb","22","Compton","22","92.0000","42602","Nitrogen dioxide (NO2)","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","33.9013890008739","-118.205"
"05/03/2019","AQS","060371302","1","11.6","ppb","10","Compton","24","100.0000","42602","Nitrogen dioxide (NO2)","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","33.9013890008739","-118.205"
"05/04/2019","AQS","060371302","1","6.8","ppb","6","Compton","24","100.0000","42602","Nitrogen dioxide (NO2)","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","33.9013890008739","-118.205"
"05/05/2019","AQS","060371302","1","6.6","ppb","6","Compton","24","100.0000","42602","Nitrogen dioxide (NO2)","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","33.9013890008739","-118.205"
"05/06/2019","AQS","060371302","1","13.5","ppb","12","Compton","24","100.0000","42602","Nitrogen dioxide (NO2)","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","33.9013890008739","-118.205"
"05/07/2019","AQS","060371302","1","11.2","ppb","10","Compton","21","88.0000","42602","Nitrogen dioxide (NO2)","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","33.9013890008739","-118.205"
"05/08/2019","AQS","060371302","1","10.2","ppb","9","Compton","24","100.0000","42602","Nitrogen dioxide (NO2)","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","33.9013890008739","-118.205"
"05/09/2019","AQS","060371302","1","19.5","ppb","18","Compton","24","100.0000","42602","Nitrogen dioxide (NO2)","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","33.9013890008739","-118.205"
"05/10/2019","AQS","060371302","1","23.1","ppb","22","Compton","24","100.0000","42602","Nitrogen dioxide (NO2)","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","33.9013890008739","-118.205"
"05/11/2019","AQS","060371302","1","23.4","ppb","22","Compton","24","100.0000","42602","Nitrogen dioxide (NO2)","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","33.9013890008739","-118.205"
"05/12/2019","AQS","060371302","1","16.8","ppb","15","Compton","24","100.0000","42602","Nitrogen dioxide (NO2)","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","33.9013890008739","-118.205"
"05/13/2019","AQS","060371302","1","11.4","ppb","10","Compton","24","100.0000","42602","Nitrogen dioxide (NO2)","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","33.9013890008739","-118.205"
"05/14/2019","AQS","060371302","1","14.6","ppb","13","Compton","24","100.0000","42602","Nitrogen dioxide (NO2)","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","33.9013890008739","-118.205"
"05/15/2019","AQS","060371302","1","11.1","ppb","10","Compton","24","100.0000","42602","Nitrogen dioxide (NO2)","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","33.9013890008739","-118.205"
"05/16/2019","AQS","060371302","1","15.8","ppb","14","Compton","24","100.0000","42602","Nitrogen dioxide (NO2)","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","33.9013890008739","-118.205"
"05/17/2019","AQS","060371302","1","26.4","ppb","25","Compton","24","100.0000","42602","Nitrogen dioxide (NO2)","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","33.9013890008739","-118.205"
"05/18/2019","AQS","060371302","1","23.1","ppb","22","Compton","24","100.0000","42602","Nitrogen dioxide (NO2)","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","33.9013890008739","-118.205"
"05/19/2019","AQS","060371302","1","5.8","ppb","5","Compton","24","100.0000","42602","Nitrogen dioxide (NO2)","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","33.9013890008739","-118.205"
"05/20/2019","AQS","060371302","1","14.1","ppb","13","Compton","24","100.0000","42602","Nitrogen dioxide (NO2)","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","33.9013890008739","-118.205"
"05/21/2019","AQS","060371302","1","14.6","ppb","13","Compton","24","100.0000","42602","Nitrogen dioxide (NO2)","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","33.9013890008739","-118.205"
"05/22/2019","AQS","060371302","1","18","ppb","17","Compton","24","100.0000","42602","Nitrogen dioxide (NO2)","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","33.9013890008739","-118.205"
"05/23/2019","AQS","060371302","1","19.4","ppb","18","Compton","24","100.0000","42602","Nitrogen dioxide (NO2)","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","33.9013890008739","-118.205"
"05/24/2019","AQS","060371302","1","24.1","ppb","23","Compton","24","100.0000","42602","Nitrogen dioxide (NO2)","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","33.9013890008739","-118.205"
"05/25/2019","AQS","060371302","1","20.9","ppb","19","Compton","24","100.0000","42602","Nitrogen dioxide (NO2)","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","33.9013890008739","-118.205"
"05/26/2019","AQS","060371302","1","6.8","ppb","6","Compton","24","100.0000","42602","Nitrogen dioxide (NO2)","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","33.9013890008739","-118.205"
"05/27/2019","AQS","060371302","1","19","ppb","18","Compton","24","100.0000","42602","Nitrogen dioxide (NO2)","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","33.9013890008739","-118.205"
"05/28/2019","AQS","060371302","1","20.8","ppb","19","Compton","24","100.0000","42602","Nitrogen dioxide (NO2)","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","33.9013890008739","-118.205"
"05/29/2019","AQS","060371302","1","21.7","ppb","20","Compton","24","100.0000","42602","Nitrogen dioxide (NO2)","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","33.9013890008739","-118.205"
"05/30/2019","AQS","060371302","1","12","ppb","11","Compton","18","75.0000","42602","Nitrogen dioxide (NO2)","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","33.9013890008739","-118.205"
"05/31/2019","AQS","060371302","1","16","ppb","15","Compton","22","92.0000","42602","Nitrogen dioxide (NO2)","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","33.9013890008739","-118.205"
"06/01/2019","AQS","060371302","1","7.8","ppb","7","Compton","24","100.0000","42602","Nitrogen dioxide (NO2)","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","33.9013890008739","-118.205"
"06/02/2019","AQS","060371302","1","9.2","ppb","8","Compton","24","100.0000","42602","Nitrogen dioxide (NO2)","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","33.9013890008739","-118.205"
"06/03/2019","AQS","060371302","1","12.3","ppb","11","Compton","24","100.0000","42602","Nitrogen dioxide (NO2)","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","33.9013890008739","-118.205"
"06/04/2019","AQS","060371302","1","13.5","ppb","12","Compton","24","100.0000","42602","Nitrogen dioxide (NO2)","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","33.9013890008739","-118.205"
"06/05/2019","AQS","060371302","1","14.8","ppb","13","Compton","24","100.0000","42602","Nitrogen dioxide (NO2)","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","33.9013890008739","-118.205"
"06/06/2019","AQS","060371302","1","10","ppb","9","Compton","24","100.0000","42602","Nitrogen dioxide (NO2)","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","33.9013890008739","-118.205"
"06/07/2019","AQS","060371302","1","15.7","ppb","14","Compton","24","100.0000","42602","Nitrogen dioxide (NO2)","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","33.9013890008739","-118.205"
"06/08/2019","AQS","060371302","1","8.1","ppb","8","Compton","24","100.0000","42602","Nitrogen dioxide (NO2)","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","33.9013890008739","-118.205"
"06/09/2019","AQS","060371302","1","8.4","ppb","8","Compton","24","100.0000","42602","Nitrogen dioxide (NO2)","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","33.9013890008739","-118.205"
"06/10/2019","AQS","060371302","1","25.3","ppb","24","Compton","24","100.0000","42602","Nitrogen dioxide (NO2)","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","33.9013890008739","-118.205"
"06/11/2019","AQS","060371302","1","31.8","ppb","29","Compton","21","88.0000","42602","Nitrogen dioxide (NO2)","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","33.9013890008739","-118.205"
"06/12/2019","AQS","060371302","1","12.8","ppb","11","Compton","19","79.0000","42602","Nitrogen dioxide (NO2)","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","33.9013890008739","-118.205"
